abv,country,name
AIK,USA,AIKEN
AJX,CAN,AJAX DOWNS
ALB,USA,ALBUQUERQUE
AQA,USA,AMERICAN QUARTER HORSE ASSOCIATION
ANF,USA,ANTHONY DOWNS
AQU,USA,AQUEDUCT
ARP,USA,ARAPAHOE PARK
ARC,USA,ARC DE TRIOMPHE FRANCE
AZD,USA,ARIZONA DOWNS
AP ,USA,ARLINGTON
ASD,CAN,ASSINIBOIA DOWNS
ATH,USA,ATLANTA
ATL,USA,ATLANTIC CITY
ATO,USA,ATOKAD DOWNS
BSR,USA,BARRETTS RACE MEET AT FAIRPLEX
BM ,USA,BAY MEADOWS
BMF,USA,BAY MEADOWS FAIR
BFF,USA,BC BFF BREEDERS CUP FUTURE WAGER
BFS,USA,BC BFS BREEDERS CUP FUTURE WAGER
BEL,USA,BELMONT PARK
BTP,USA,BELTERRA PARK
BHP,USA,BETFAIR HOLLYWOOD PARK
BEU,USA,BEULAH PARK
BKF,USA,BLACK FOOT
BRD,USA,BLUE RIBBON DOWNS
BOW,USA,BOWIE
BCC,USA,BREEDERS CUP JUVENILE - CLASSIC DOUBLE
BCD,USA,BREEDERS CUP JUVENILE FILLIES - DISTAFF DOUBLE
BCJ,USA,BREEDERS CUP JUVENILE FUTURE WAGER
BCT,USA,BREEDERS CUP JUVENILE TURF - TURF DOUBLE
BRO,USA,BROOKHILL FARM
BCF,USA,BROWN COUNTY FAIR
CRC,USA,CALDER RACE COURSE
CMR,PR ,CAMARERO RACE TRACK
CAM,USA,CAMDEN
CBY,USA,CANTERBURY PARK
CAS,USA,CASSIA COUNTY FAIR
CWF,USA,CENTRAL WYOMING FAIR
CTD,CAN,CENTURY DOWNS
CTM,CAN,CENTURY MILE
CHL,USA,CHARLOTTE
CPW,USA,CHIPPEWA DOWNS
CD ,USA,CHURCHILL DOWNS
CLM,USA,CLEMMONS
DG ,USA,COCHISE COUNTY FAIR @ DOUGLAS
CNL,USA,COLONIAL DOWNS
CLS,USA,COLUMBUS
PRV,USA,CROOKED RIVER ROUNDUP
S13,USA,Club Hipico Concepcion Chile
CCP,USA,Cross Country Pick X
DAY,USA,DAYTON
DMR,USA,DEL MAR
DEL,USA,DELAWARE PARK
DED,USA,DELTA DOWNS
DEP,CAN,DESERT PARK
DXD,USA,DIXIE DOWNS
DBA,USA,Dual Breed A
DBB,USA,Dual Breed B
DBC,USA,Dual Breed Woodbine Crossover Pick 4
UN ,USA,EASTERN OREGON LIVESTOCK SHOW
ELK,USA,ELKO COUNTY FAIR
ELP,USA,ELLIS PARK
EMD,USA,EMERALD DOWNS
EMT,USA,EMMETT
EUR,USA,EUREKA
EVD,USA,EVANGELINE DOWNS
FG ,USA,FAIR GROUNDS
FAI,USA,FAIR HILL
FMT,USA,FAIR MEADOWS
FPL,USA,FAIR PLAY PARK
FAX,USA,FAIRFAX
FP ,USA,FAIRMOUNT PARK
FPX,USA,FAIRPLEX PARK
FH ,USA,FAR HILLS
FER,USA,FERNDALE
FL ,USA,FINGER LAKES
FON,USA,FONNER PARK
FE ,CAN,FORT ERIE
FTP,USA,FORT PIERRE
FX ,USA,FOXFIELD
FNO,USA,FRESNO
GV ,USA,GENESEE VALLEY
GIL,USA,GILLESPIE COUNTY FAIRGROUND
MID,USA,GLENWOOD PARK AT MIDDLEBURG
GLN,USA,GLYNDON
GG ,USA,GOLDEN GATE FIELDS
SAF,USA,GRAHAM COUNTY FAIR @ SAFFORD
GN ,USA,GRAND NATIONAL
GPR,CAN,GRANDE PRAIRIE
GRP,USA,GRANTS PASS
GBF,USA,GREAT BARRINGTON FAIR
GF ,USA,GREAT FALLS
GLD,USA,GREAT LAKES DOWNS
GRM,USA,GREAT MEADOW
N11,USA,GREAT MEADOW NSA
DUN,USA,GREENELEE COUNTY FAIR @ DUNCAN
GP ,USA,GULFSTREAM PARK
GPW,USA,GULFSTREAM PARK WEST
S14,USA,Gavea Brazil
HAP,USA,HARBOR PARK
BRN,USA,HARNEY COUNTY FAIR
HST,CAN,HASTINGS RACECOURSE
HAW,USA,HAWTHORNE
HP ,USA,HAZEL PARK
HIA,USA,HIALEAH PARK
CT ,USA,HOLLYWOOD CASINO AT CHARLES TOWN RACES
HOL,USA,HOLLYWOOD PARK
HOO,USA,HOOSIER PARK
HPO,USA,HORSEMEN'S PARK
HCF,USA,HUMBOLDT COUNTY FAIR
IND,USA,INDIANA GRAND RACE COURSE
JRM,USA,JEROME COUNTY FAIR
KSP,USA,KALISPELL
KAM,CAN,KAMLOOPS
KEE,USA,KEENELAND
KD ,USA,KENTUCKY DOWNS
NS0,USA,KENTUCKY DOWNS NSA
KIN,CAN,KIN PARK
KDF,USA,Kentucky Derby Future Wager
LAM,USA,LA MESA PARK
LBT,USA,LAUREL BROWN RACETRACK
LRL,USA,LAUREL PARK
BOI,USA,LES BOIS PARK
LBG,CAN,LETHBRIDGE
LEX,USA,LEXINGTON
LNN,USA,LINCOLN RACE COURSE
LEV,USA,LITTLE EVERGLADES
LS ,USA,LONE STAR PARK
LA ,USA,LOS ALAMITOS
LRC,USA,LOS ALAMITOS RACE COURSE
LAD,USA,LOUISIANA DOWNS
LQB,USA,LQHBA LOUISIANA QUARTER HORSE ASSOCIATION
MVR,USA,MAHONING VALLEY RACE COURSE
MAL,USA,MALVERN
MAN,USA,MANOR DOWNS
MAF,USA,MARIAS FAIR
MD ,CAN,MARQUIS DOWNS
MED,USA,MEADOWLANDS
MDA,CAN,MELVILLE DISTRICT AGRIPAR
MC ,USA,MILES CITY
MS ,USA,MILL SPRING
MIL,CAN,MILLARVILLE
MON,USA,MONKTON
MTH,USA,MONMOUTH PARK
MOR,USA,MORVEN PARK
MNR,USA,MOUNTAINEER CASINO RACETRACK & RESORT
MPM,USA,MT. PLEASANT MEADOWS
MHB,USA,Maryland Horse Breeder Association
FAR,USA,NORTH DAKOTA HORSE PARK
NP ,CAN,NORTHLANDS PARK
NVD,USA,NORTHVILLE DOWNS
OKR,USA,OAK RIDGE
OTH,USA,OAK TREE AT HOLLYWOOD PARK
OTP,USA,OAK TREE AT PLEASANTON
OSA,USA,OAK TREE AT SANTA ANITA
OP ,USA,OAKLAWN PARK
OTC,USA,OCALA TRAINING CENTER
ONE,USA,ONEIDA COUNTY FAIR
PMB,USA,PALM BEACH POLO CLUB
PRX,USA,PARX RACING
PEN,USA,PENN NATIONAL
UNI,USA,PENNSYLVANIA HUNT CUP
PW ,USA,PERCY WARNER
PHA,USA,PHILADELPHA PARK
PIC,CAN,PICOV DOWNS
PIM,USA,PIMLICO
PNL,USA,PINNACLE RACE COURSE
PLN,USA,PLEASANTON
POD,USA,POCATELLO DOWNS
PM ,USA,PORTLAND MEADOWS
PRM,USA,PRAIRIE MEADOWS
PID,USA,PRESQUE ISLE DOWNS
RB ,USA,RED BANK
RDM,USA,RED MILE
RP ,USA,REMINGTON PARK
RET,USA,RETAMA PARK
RIL,USA,RILLITO
RD ,USA,RIVER DOWNS
RKM,USA,ROCKINGHAM PARK
RPD,CAN,ROSSBURN PARKLAND DOWNS
RUI,USA,RUIDOSO DOWNS
RUP,USA,RUPERT DOWNS
SAC,USA,SACRAMENTO
HOU,USA,SAM HOUSTON RACE PARK
SLR,USA,SAN LUIS REY TRAINING CENTER
SDY,USA,SANDY DOWNS
SA ,USA,SANTA ANITA PARK
SON,USA,SANTA CRUZ COUNTY FAIR @ SONOITA
SFE,USA,SANTA FE
SR ,USA,SANTA ROSA
SAR,USA,SARATOGA
SHW,USA,SHAWAN DOWNS
SOL,USA,SOLANO
SPT,USA,SPORTSMAN'S PARK
STP,CAN,STAMPEDE PARK
STK,USA,STOCKTON
STN,USA,STONEYBROOK AT FIVE POINTS
SH ,USA,STRAWBERRY HILL
SUF,USA,SUFFOLK DOWNS
N12,USA,SUFFOLK NSA
SUD,USA,SUN DOWNS
SND,CAN,SUNFLOWER
SUN,USA,SUNLAND PARK
SRP,USA,SUNRAY PARK
SWF,USA,SWEETWATER DOWNS
TAM,USA,TAMPA BAY DOWNS
WDS,USA,THE WOODLANDS
TDN,USA,THISTLEDOWN
TIL,USA,TILLAMOOK COUNTY FAIR
TIM,USA,TIMONIUM
TGD,USA,TIOGA DOWNS
